uuid,source,orig_id,mly_sfm_cluster.id,mly_sfm_cluster.url
39f9db07-40b9-45ee-8c8e-7021f7d5f136,Mapillary,886675383502223,1018738539272846.0,
8ead2c0f-6939-4ccf-b9e2-bb72e09c364f,Mapillary,1889414818211478,1266816281390461.0,
14ef7f3a-8ab6-47c6-a078-a33ace682d18,Mapillary,989488855878651,829627332103353.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An-oYviIwj2tZ8DR1X5HGfETt-VBHgRai_e15c0x6LS8HCNtwJbI_pPgzcbP0eEuQD5z8NW7MeAgLF50Nursmfc7ooHbMSi1MnCpkRLbq-_fxwd2mndln3iRCXAB1O_r8r0jMmS28XEo?ccb=10-5&oh=00_AYBLdVavYz_28Uj9oUtsPF5n1loewnXRDMUWZUL8EV27hQ&oe=66BDCB07&_nc_sid=fbd883
9a4bd2ac-3ee6-4cef-ba78-be6f9fc112f3,Mapillary,999172088471422,7878841428863067.0,
37a3c849-8555-4df1-8bc0-c2e2cc169296,Mapillary,454294054230456,986187579755990.0,
1c4f27fd-e471-48b7-a408-89dbca701cef,Mapillary,1019990306442244,469224655826973.0,
8c52be8c-0426-4ca8-9ee1-df457e7b6102,Mapillary,352881327676105,809158371322783.0,
709b67e9-bd90-4edd-b73b-e461ba910941,Mapillary,989142915954144,1022634162604193.0,
dd0a2743-7eae-4f03-b80e-fbc9260a1f2b,Mapillary,7497907456998049,1554489278745575.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9h0ZsZSl7Y2j0ZliUhXenlCHhFUe47nFlAUtQoLgbdsUP0u8S_rx_skSUFFxvXWhCmezlm6VRNwhECaJFT0mmOpDK4tGNGGrV1YSfXtUaxbYA9fNw16ypJ-UtQzRGs1jKMaLR7R5913Q?ccb=10-5&oh=00_AYDucHyXb0coCmMIKs3SK2Y_aV40k9RHc20wmxsshwyIjA&oe=66BDC1F6&_nc_sid=fbd883
daf4b847-ccd6-4fe3-8b3e-91b1c0a7eb0f,Mapillary,1909054292896423,469224655826973.0,
aa7fe59f-afd8-40d0-a7f5-9c30147b0af0,Mapillary,487893786990482,1554489278745575.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9h0ZsZSl7Y2j0ZliUhXenlCHhFUe47nFlAUtQoLgbdsUP0u8S_rx_skSUFFxvXWhCmezlm6VRNwhECaJFT0mmOpDK4tGNGGrV1YSfXtUaxbYA9fNw16ypJ-UtQzRGs1jKMaLR7R5913Q?ccb=10-5&oh=00_AYDucHyXb0coCmMIKs3SK2Y_aV40k9RHc20wmxsshwyIjA&oe=66BDC1F6&_nc_sid=fbd883
77fa19c5-697f-422d-a292-8b192d64401b,Mapillary,1142669890340271,1022634162604193.0,
24772166-8c12-4ab4-b0ca-22e61df0d858,Mapillary,3452254475065759,1160628541656852.0,
aeef27c2-ed44-4ee7-a085-5af44a0aa661,Mapillary,26003698152608405,7878841428863067.0,
54394413-e31e-4407-ae02-8c75a14b5306,Mapillary,463277549650695,1569749970423260.0,
dc14d363-49d2-4f50-80ac-9f12d070df80,Mapillary,1511284963147152,7878841428863067.0,
c9e21f5e-9267-407e-93cd-23f5b30dccb6,Mapillary,1170977017478406,7878841428863067.0,
